,school,rating,type,students,grades,city,zip
1165,Academy of Finance and Enterprise,7,Public district,601, 9-12, Queens, 11101
1166,River East Elementary School,7,Public district,189, PK-5, New York, 10035
1167,Paula Hedbavny School,7,Public district,558, K-8, New York, 10034
1168,Young Women's Leadership School of Queens,7,Public district,566, 6-12, Queens, 11432
1169,South Bronx Charter School Inter Cultures And Arts,7,Public charter,427, K-5, Bronx, 10454
1170,Grand Concourse Academy Charter School,7,Public charter,562, K-8, Bronx , NY
1171,Achievement First East New York Charter School,7,Public charter,859, K-12, Brooklyn, 11207
1172,Bloomfield Middle School,7,Public district,211, 6-8, Bloomfield, 14469
1173,Sachem High School East,7,Public district,"2,296", 9-12, Farmingville, 11738
1174,Millbrook High School,7,Public district,319, 9-12, Millbrook, 12545
1175,Democracy Preparatory Charter School,7,Public charter,691, 6-12, New York, 10037
1176,Academy Of Applied Mathematics And Technology,7,Public district,301, 6-8, Bronx, 10454
1177,Urban Assembly Academy Of Arts And Letters,7,Public district,516, K-8, Brooklyn, 11205
1178,Leadership Preparatory Bedford Stuyvesant Charter School,7,Public charter,"1,119", K-12, Brooklyn, 11216
1179,East West School Of International Studies,7,Public district,655, 6-12, Queens, 11355
1180,Felix Festa Determination Middle School,7,Public district,683, 8, West Nyack, 10994
1181,Kings Collegiate Charter School,7,Public charter,632, K-1, Brooklyn, 11203
1182,Urban Assembly School for Criminal Justice,7,Public district,548, 6-12, Brooklyn, 11219
1183,Ps Is 295,7,Public district,499, PK-8, Queens, 11428
1184,Science and Technology Academy: A Mott Hall School,7,Public district,450, 6-8, Bronx, 10456
1185,Pelham Academy Of Academics And Community Engageme,7,Public district,323, 6-8, Bronx, 10467
1186,Brighter Choice Community School,7,Public district,311, PK-5, Brooklyn, 11206
1187,Kingsborough Early College School,7,Public district,656, 6-12, Brooklyn, 11214
1188,Staten Island School Of Civic Leadership,7,Public district,897, PK-8, Staten Island, 10314
1189,Academy Charter School,7,Public charter,"1,084", K-10, Hempstead, 11550
1190,Evergreen Charter School,7,Public charter,449, K-7, Hempstead, 11550
1191,The Equity Project Charter School,7,Public charter,720, K-1, New York, 10040
1192,Pave Academy Charter School,7,Public charter,489, K-8, Brooklyn, 11231
1193,Excellence Girls Charter School,7,Public charter,"1,452", K-12, Brooklyn, 11221
1194,Brooklyn Ascend Charter School,7,Public charter,"1,395", K-11, Brooklyn, 11212
1195,Leadership Preparatory Ocean Hill Charter School,7,Public charter,"1,167", K-12, Brooklyn, 11212
1196,Brownsville Ascend Charter School,7,Public charter,"1,035", K-8, Brooklyn, 11212
1197,Voice Charter School of New York,7,Public charter,682, K-8, Queens, 11106
1198,Ps Ms 498 Van Nest Academy,7,Public district,641, K-8, Bronx, 10462
1199,Leadership Preparatory Brownsville Charter School,7,Public charter,789, K-8, Brooklyn, 11212
1200,Ocean Hill Collegiate Charter School,7,Public charter,336, 5-8, Brooklyn, 11233
1201,Ps 310,7,Public district,408, K-5, Brooklyn, 11219
1202,Bushwick Ascend Charter School,7,Public charter,883, K-8, Brooklyn, 11221
1203,Imagine Me Leadership Charter School,7,Public charter,229, K-5, Brooklyn, 11207
1204,Brooklyn Dreams Charter School,7,Public charter,580, K-8, Brooklyn, 11230
1205,True North Rochester Prep Charter School West Camp,7,Public charter,813, K-8, Rochester, 14611
1206,Barringer Road Elementary School,7,Public district,532, 2-4, Ilion, 13357
1207,Democracy Prep Endurance Charter School,7,Public charter,440, 6-11, New York, 10027
1208,Neighborhood Charter School of Harlem,7,Public charter,465, K-6, New York, 10027
1209,Brilla College Prep Public Charter School,7,Public charter,525, K-5, Bronx, 10454
1210,Achievement First Aspire Charter,7,Public charter,559, K-5, Brooklyn, 11208
1211,Middle Village Prep Charter School,7,Public charter,390, 6-8, Queens, 11379
1212,Deauville Gardens West Elementary School,7,Public district,348, 1-5, Copiague, 11726
1213,Vista Academy,7,Public district,438, 6-8, Brooklyn, 11208
1214,Brooklyn Landmark Elementary School,7,Public district,325, PK-5, Brooklyn, 11233
1215,Elementary Tree Elementary School,7,Public district,300, K-4, Queens, 11368
1216,Family Life Academy Charter School Ii,7,Public charter,483, K-8, Bronx, 10454
1217,Naples Street Elementary School,7,Public district,298, PK-4, Staten Island, 10304
1218,AMERICAN DREAM CHARTER SCHOOL,7,Public charter,342, 6-9, Bronx, 10454
1219,LEADERSHIP PREPARATORY CANARSIE CHARTER SCHOOL,7,Public charter,767, K-8, Brooklyn, 11236
1220,FLOYD HARWOOD ELEMENTARY SCHOOL,7,Public district,197, PK-5, Hartford, 12838
1221,West End Secondary School,7,Public district,339, 6-8, New York, 10023
1222,Achievement First Linden Charter School,7,Public charter,462, K-4, Brooklyn, 11207
1223,Richfield Springs Jr/Sr High School,7,Public district,176, 7-12, Richfield Springs, 13439
1224,Sauquoit Valley High School,7,Public district,292, 9-12, Sauquoit, 13456
1225,Sauquoit Valley Middle School,7,Public district,303, 5-8, Sauquoit, 13456
1226,Broadalbin Perth High School,7,Public district,551, 9-12, Broadalbin, 12025
1227,Wayland Cohocton High School,7,Public district,391, 9-12, Wayland, 14572
1228,Wayland Elementary School,7,Public district,294, K-4, Wayland, 14572
1229,Poestenkill Elementary School,7,Public district,365, K-5, Poestenkill, 12140
1230,Sand Lake Miller Hill School,7,Public district,410, K-5, Averill Park, 12018
1231,Campbell Savona Elementary School,7,Public district,466, PK-6, Savona, 14879
1232,Mattituck Junior Senior High School,7,Public district,637, 7-12, Mattituck, 11952
1233,Mattituck Cutchogue Elementary School,7,Public district,530, K-6, Cutchogue, 11935
1234,Akron High School,7,Public district,451, 9-12, Akron, 14001
1235,Alden Senior High School,7,Public district,552, 9-12, Alden, 14004
1236,Alexander Middle School High School,7,Public district,471, 6-12, Alexander, 14005
1237,Alfred Almond Junior Senior High School,7,Public district,297, 7-12, Almond, 14804
1238,A F Palmer Elementary School / Windsor Central Middle School,7,Public district,586, PK-8, Windsor, 13865
1239,Windsor Central High School,7,Public district,495, 9-12, Windsor, 13865
1240,Windermere Blvd School,7,Public district,742, PK-5, Buffalo, 14226
1241,Amherst Middle School,7,Public district,666, 6-8, Amherst, 14226
1242,Beekman School,7,Public district,444, K-5, Poughquag, 12570
1243,Attica Senior High School,7,Public district,448, 9-12, Attica, 14011
1244,Babylon Junior Senior High School,7,Public district,786, 7-12, Babylon, 11702
1245,Babylon Memorial Grade School,7,Public district,482, 3-6, Babylon, 11702
1246,Bainbridge Guilford High School,7,Public district,351, 7-12, Bainbridge, 13733
1247,Lenox Elementary School,7,Public district,315, K-5, Baldwin, 11510
1248,Plaza Elementary School,7,Public district,423, K-5, Baldwin, 11510
1249,Van Buren Elementary School,7,Public district,524, K-5, Baldwinsville, 13027
1250,Ballston Spa Senior High School,7,Public district,"1,288", 9-12, Ballston Spa, 12020
1251,Wood Road Elementary School,7,Public district,537, K-5, Ballston Spa, 12020
1252,Barker Junior Senior High School,7,Public district,354, 7-12, Barker, 14012
1253,Glenham School,7,Public district,418, PK-5, Fishkill, 12524
1254,South Avenue School,7,Public district,359, PK-5, Beacon, 12508
1255,Beaver River Elementary School,7,Public district,409, PK-5, Castorland, 13620
1256,Shore Road School,7,Public district,297, 5-6, Bellmore, 11710
1257,Glenmont Elementary School,7,Public district,357, K-5, Glenmont, 12077
1258,Slingerlands Elementary School,7,Public district,476, K-5, Delmar, 12054
1259,Central Boulevard Elementary School,7,Public district,536, K-5, Bethpage, 11714
1260,Gilbertsville-Mount Upton Junior/Senior High School,7,Public district,183, 7-12, Gilbertsville, 13776
1261,Bolton Central School,7,Public district,194, PK-12, Bolton, 12814
1262,Brewster High School,7,Public district,"1,079", 9-12, Brewster, 10509
1263,Brookfield Central School,7,Public district,235, PK-12, Waterville, 13480
1264,Frederick Olmsted 56,7,Public district,826, 5-12, Buffalo, 14215
1265,Byron Bergen Elementary School,7,Public district,499, PK-6, Bergen, 14416
1266,Caledonia Mumford High School,7,Public district,267, 9-12, Caledonia, 14423
1267,Cambridge Elementary School,7,Public district,450, K-6, Cambridge, 12816
1268,Canandaigua Academy And Middle School,7,Public district,"1,161", 9-12, Canandaigua, 14424
1269,J M Mckenney Middle School,7,Public district,369, 5-8, Canton, 13617
1270,Carle Place Middle Senior High School,7,Public district,630, 7-12, Carle Place, 11514
1271,Rushmore Avenue School,7,Public district,420, 3-6, Carle Place, 11514
1272,Carmel High School,7,Public district,"1,448", 9-12, Carmel Hamlet, 10512
1273,Matthew Paterson Elementary School,7,Public district,496, K-4, Patterson, 12563
1274,Burton Street Elementary School,7,Public district,485, K-4, Cazenovia, 13035
1275,Veronica E Connor Middle School,7,Public district,693, 6-8, Grand Island, 14072
1276,Huth Road School,7,Public district,411, 2-5, Grand Island, 14072
1277,Chenango Valley High School,7,Public district,498, 9-12, Binghamton, 13901
1278,Westhill High School,7,Public district,584, 9-12, Syracuse, 13219
1279,Bolivar Road Elementary School,7,Public district,468, K-4, Chittenango, 13037
1280,Chittenango High School,7,Public district,645, 9-12, Chittenango, 13037
1281,Churchville Elementary School,7,Public district,405, K-4, Churchville, 14428
1282,Clarence Center Elementary School,7,Public district,375, K-5, Clarence Center, 14032
1283,Clarence Middle School,7,Public district,"1,086", 6-8, Clarence, 14031
1284,Harris Hill Elementary School,7,Public district,476, K-5, Buffalo, 14221
1285,Cape Vincent Elementary School,7,Public district,116, K-5, Cape Vincent, 13618
1286,Thousand Islands High School,7,Public district,305, 9-12, Clayton, 13624
1287,Clifton Fine Junior Senior High School,7,Public district,138, 7-12, Star Lake, 13690
1288,Clinton Elementary School,7,Public district,572, K-5, Clinton, 13323
1289,Clymer Central School,7,Public district,449, PK-12, Clymer, 14724
1290,Deauville Gardens Elementary School,7,Public district,375, 1-5, Copiague, 11726
1291,Pembroke Junior Senior High School,7,Public district,419, 7-12, Corfu, 14036
1292,Calvin U Smith Elementary School,7,Public district,301, K-5, Painted Post, 14870
1293,Croton Harmon High School,7,Public district,513, 9-12, Croton-on-Hudson, 10520
1294,Pierre Van Cortlandt School,7,Public district,504, 5-8, Croton-on-Hudson, 10520
1295,Crown Point Central School,7,Public district,284, PK-12, Crown Point, 12928
1296,Delhi Elementary School,7,Public district,341, K-5, Delhi, 13753
1297,Pioneer Middle School,7,Public district,706, 5-8, Delevan, 14042
1298,Jamesville Elementary School,7,Public district,361, K-4, Jamesville, 13078
1299,Jamesville Dewitt Middle School,7,Public district,925, 5-8, Jamesville, 13078
1300,Dobbs Ferry Middle School,7,Public district,343, 6-8, Dobbs Ferry, 10522
1301,Bell Top School,7,Public district,304, K-5, Troy, 12180
1302,Howard L Goff School,7,Public district,929, 6-8, East Greenbush, 12061
1303,East Islip High School,7,Public district,"1,266", 9-12, Islip Terrace, 11752
1304,East Quogue School,7,Public district,388, K-6, East Quogue, 11942
1305,Eden Junior Senior High School,7,Public district,660, 7-12, Eden, 14057
1306,Elba Junior Senior High School,7,Public district,161, 7-12, Elba, 14058
1307,Ellicottville Middle School High School,7,Public district,339, 6-12, Ellicottville, 14731
1308,Alice E Grady Elementary School,6,Public district,351, 2-6, Elmsford, 10523
1309,Union Endicott High School,6,Public district,"1,148", 9-12, Endicott, 13760
1310,Martha Brown Middle School,6,Public district,677, 6-8, Fairport, 14450
1311,Woodward Parkway Elementary School,6,Public district,799, K-5, South Farmingdale, 11735
1312,Fonda Fultonville 5 8 School,6,Public district,450, 5-8, Fonda, 12068
1313,Forestville Central High School,6,Public district,227, 7-12, Forestville, 14062
1314,Fort Plain Junior Senior High School,6,Public district,342, 7-12, Fort Plain, 13339
1315,Frankfort Schuyler Central High School,6,Public district,303, 9-12, Frankfort, 13340
1316,Franklin Central School,6,Public district,266, PK-12, Franklin, 13775
1317,Washington Street School,6,Public district,868, PK-6, Franklin Square, 11010
1318,Franklinville Junior Senior High School,6,Public district,289, 7-12, Franklinville, 14737
1319,Fredonia Elementary School,6,Public district,596, PK-4, Fredonia, 14063
1320,Fredonia High School,6,Public district,506, 9-12, Fredonia, 14063
1321,Archer Street School,6,Public district,636, K-4, Freeport, 11520
1322,Frewsburg Junior Senior High School,6,Public district,378, 7-12, Frewsburg, 14738
1323,Robert H Jackson Elementary School,6,Public district,429, PK-6, Frewsburg, 14738
1324,Big Tree Elementary School,6,Public district,484, K-5, Hamburg, 14075
1325,Blasdell Elementary School,6,Public district,493, PK-5, Buffalo, 14219
1326,Cloverbank Elementary School,6,Public district,591, PK-5, Hamburg, 14075
1327,Frontier Senior High School,6,Public district,"1,424", 9-12, Hamburg, 14075
1328,Galway Junior Senior High School,6,Public district,389, 7-12, Galway, 12074
1329,Joseph Henry Elementary School,6,Public district,421, K-6, Galway, 12074
1330,Gananda Middle School,6,Public district,214, 6-8, Walworth, 14568
1331,Richard Mann Elementary School,6,Public district,422, K-5, Walworth, 14568
1332,Neil Armstrong School,6,Public district,497, PK-5, Rochester, 14606
1333,Paul Road School,6,Public district,442, PK-5, Rochester, 14624
1334,Brownville School,6,Public district,531, PK-6, Watertown, 13601
1335,General Brown Junior Senior High School,6,Public district,607, 7-12, Dexter, 13634
1336,Glens Falls Middle School,6,Public district,628, 5-8, Glens Falls, 12801
1337,Glens Falls Senior High School,6,Public district,624, 9-12, Glens Falls, 12801
1338,Boulevard School,6,Public district,623, 3-5, Gloversville, 12078
1339,Marcus Whitman Middle School,6,Public district,253, 6-8, Rushville, 14544
1340,Granville Elementary School,6,Public district,213, 4-6, Granville, 12832
1341,Arcadia Middle School,6,Public district,759, 6-8, Rochester, 14612
1342,West Ridge Elementary School,6,Public district,327, PK-5, Rochester, 14616
1343,Greene High School,6,Public district,284, 9-12, Greene, 13778
1344,Greene Middle School,6,Public district,219, 6-8, Greene, 13778
1345,Greenville High School,6,Public district,368, 9-12, Greenville, 12083
1346,Greenwich Junior Senior High School,6,Public district,500, 7-12, Greenwich, 12834
1347,Greenwood Lake Elementary School,6,Public district,203, K-3, Greenwood Lake, 10925
1348,Altamont Elementary School,6,Public district,294, K-5, Altamont, 12009
1349,Stuart M Townsend Middle School,6,Public district,348, PK-6, Lake Luzerne, 12846
1350,Boston Valley Elementary School,6,Public district,256, K-5, Hamburg, 14075
1351,Hamilton Elementary School,6,Public district,287, PK-5, Hamilton, 13346
1352,Glenn Curtiss Memorial School,6,Public district,254, PK-6, Hammondsport, 14840
1353,Hammondsport Junior Senior High School,6,Public district,210, 7-12, Hammondsport, 14840
1354,Thomas J Lahey Elementary School,6,Public district,722, 3-5, Greenlawn, 11740
1355,Parsons Memorial School,6,Public district,469, K-5, Harrison, 10528
1356,Hillside Elementary School,6,Public district,591, K-4, Hastings-on-Hudson, 10706
1357,Pines Elementary School,6,Public district,435, K-5, Smithtown, 11787
1358,Jackson Main Elementary School,6,Public district,464, 1-5, Hempstead, 11550
1359,Blue Mountain Middle School,6,Public district,550, 6-8, Cortlandt, 10567
1360,Frank G Lindsey Elementary School,6,Public district,393, K-5, Montrose, 10548
1361,Furnace Woods Elementary School,6,Public district,238, K-5, Cortlandt, 10567
1362,Burns Avenue School,6,Public district,308, PK-5, Hicksville, 11801
1363,Old Country Road School,6,Public district,324, K-5, Hicksville, 11801
